Target Audience,Mode,Location,TOPIC,Trainer,month list ,Invited,Attended
S2 S3 S4 Consultants,VC,Zoom,Empower your voice: Assertive communication essentials​,Vishakha Makhija,May,1323,140
Sr exec and below,VC,Zoom,Empower your voice: Assertive communication essentials​,Vishakha Makhija,May,2203,198
Ams &  S1 Consultants,VC,Zoom,Empower your voice: Assertive communication essentials​,Vishakha Makhija,June,3245,234
AMs and Below,VC,Zoom,Empower your voice: Assertive communication essentials​,Vishakha Makhija,Sept,6047,335
AMs and Below,VC,Zoom,Empower your voice: Assertive communication essentials​,Gurleen Baruah,Dec,5887,127
AMs and Below,VC,Zoom,Empower your voice: Assertive communication essentials​,Noopur Singh,Jan,6115,128
AMs and Below,VC,Zoom,Empower your voice: Assertive communication essentials​,Gurleen Baruah,Feb,5459,943
AMs and Below,VC,Zoom,Empower your voice: Assertive communication essentials​,Gurleen Baruah,Mar,5120,195
AMs and Below,VC,Zoom,Empower your voice: Assertive communication essentials​,Vishakha Makhija,May,5585,849
AMs and Below,VC,Zoom,Empower your voice: Assertive communication essentials​,Vishakha Makhija,Jun,4780,748
AMs,VC,Zoom,From stress to smiles: Nurturing happy hormones,Gurleen Baruah,May,1194,103
S1 Consultants ,VC,Zoom,From stress to smiles: Nurturing happy hormones,Gurleen Baruah,May,2052,114
Sr exec and below,VC,Zoom,From stress to smiles: Nurturing happy hormones,Shraiya Jain,June,3522,188
S2 S3 S4 Consultants,,,0,,Sept,,
AMs and Below,VC,Zoom,From stress to smiles: Nurturing happy hormones,Shraiya Jain,Dec,6045,135
AMs and Below,VC,Zoom,From stress to smiles: Nurturing happy hormones,Noopur Singh,Feb,6325,234
AMs and Below,VC,Zoom,From stress to smiles: Nurturing happy hormones,Gurleen Baruah,Mar,6439,134
AMs and Below,VC,Zoom,From stress to smiles: Nurturing happy hormones,Deepti Seth,Apr,6510,785
AMs and Below,VC,Zoom,From stress to smiles: Nurturing happy hormones,Deepti Seth,May,5659,819
AMs and Below,VC,Zoom,From stress to smiles: Nurturing happy hormones,Deepti Seth,Jun,5215,932
AMs and Below,VC,Zoom,From stress to smiles: Nurturing happy hormones,Gurleen Baruah,July,4245,709
"AMs,  S1 Consultants ",VC,Zoom,FeelCraft: Emotional mastery,Shraiya Jain,Aug,3153,194
AMs and Below,VC,Zoom,FeelCraft: Emotional mastery,Shraiya Jain,Sept,6338,363
AMs and Below,VC,Zoom,FeelCraft: Emotional mastery,Shraiya Jain,Nov,6034,195
AMs and Below,VC,Zoom,FeelCraft: Emotional mastery,Shraiya Jain,Dec,6025,139
AMs and Below,VC,Zoom,FeelCraft: Emotional mastery,Shraiya Jain,Jan,6175,100
AMs and Below,VC,Zoom,FeelCraft: Emotional mastery,Shraiya Jain,Mar,5847,57
AMs and Below,VC,Zoom,FeelCraft: Emotional mastery,Shraiya Jain,Apr,5826,918
AMs and Below,VC,Zoom,FeelCraft: Emotional mastery,Shraiya Jain,May,4921,993
AMs and Below,VC,Zoom,FeelCraft: Emotional mastery,Shraiya Jain,Jun,4826,722
AMs and Below,VC,Zoom,FeelCraft: Emotional mastery,Shraiya Jain,July,3885,766
"S2 S3 S4 Consultants, Sr exec and below",VC,Zoom,Navigating differences: Strategies for effective conflict resolution,Vishakha Makhija,Aug,3453,290
AMs and Below,VC,Zoom,Navigating differences: Strategies for effective conflict resolution,Noopur Singh,Oct,6125,446
AMs and Below,VC,Zoom,Navigating differences: Strategies for effective conflict resolution,Noopur Singh,Nov,6390,109
AMs and Below,VC,Zoom,Navigating differences: Strategies for effective conflict resolution,Noopur Singh,Dec,6236,129
AMs and Below,VC,Zoom,Navigating differences: Strategies for effective conflict resolution,Noopur Singh,Feb,5771,68
AMs and Below,VC,Zoom,Navigating differences: Strategies for effective conflict resolution,Vishakha Makhija,Mar,5545,779
AMs and Below,VC,Zoom,Navigating differences: Strategies for effective conflict resolution,Gurleen Baruah,Apr,5470,575
AMs and Below,VC,Zoom,Navigating differences: Strategies for effective conflict resolution,Deepti Seth,May,4960,1036
AMs and Below,VC,Zoom,Navigating differences: Strategies for effective conflict resolution,Vishakha Makhija,Jun,4433,590
AMs and Below,VC,Zoom,Navigating differences: Strategies for effective conflict resolution,Vishakha Makhija,May,3749,568
Ams &  S1 Consultants,VC,Zoom,Elevate your email game: Harnessing MS Outlook​,Noopur Singh,May,3244,227
S2 S3 S4 Consultants & Sr exec and below,VC,Zoom,Elevate your email game: Harnessing MS Outlook​,Noopur Singh,June,3524,340
Ams &  S1 Consultants,VC,Zoom,Elevate your email game: Harnessing MS Outlook​,Noopur Singh,July,6209,200
AMs and Below,VC,Zoom,Elevate your email game: Harnessing MS Outlook​,Noopur Singh,Aug,5975,329
AMs and Below,VC,Zoom,Elevate your email game: Harnessing MS Outlook​,Noopur Singh,Nov,8565,163
AMs and Below,VC,Zoom,Elevate your email game: Harnessing MS Outlook​,Noopur Singh,May,5927,167
AMs and Below,VC,Zoom,Elevate your email game: Harnessing MS Outlook​,Vijaybhan,May,6210,300
Tier 3(Self Nomination based),VC,Zoom,MS Power Point,Noopur Singh,July,451,115
Tier 3(Self Nomination based),VC,Zoom,MS Power Point,Noopur Singh,Oct,1189,112
Tier 3(Self Nomination based),VC,Zoom,MS Power Point,Noopur Singh,Jan,887,57
Tier 3(Self Nomination based),VC,Zoom,MS Power Point,Noopur Singh,Apr,1166,102
Tier 3(Self Nomination based),VC,Zoom,MS Power Point,Vijaybhan,May,1151,130
Tier 3(Self Nomination based),VC,Zoom,MS Power Point,Vijaybhan,Jun,1099,147
Tier 3(Self Nomination based),VC,Zoom,MS Power Point,Vijaybhan,April,1046,108
Tier 3(Self Nomination based),VC,Zoom,MS Excel (Basic – Intermediate),Nitin Giri,June,204,115
Tier 3(Self Nomination based),VC,Zoom,MS Excel (Basic – Intermediate),Vipul Rafukiya,Aug,621,115
Tier 3(Self Nomination based),VC,Zoom,MS Excel (Basic – Intermediate),Vipul Rafukiya,Jan,1169,98
Tier 3(Self Nomination based),VC,Zoom,MS Excel (Basic – Intermediate),Vijaybhan,Feb,889,97
Tier 3(Self Nomination based),VC,Zoom,MS Excel (Basic – Intermediate),Vijaybhan,Mar,818,55
Tier 3(Self Nomination based),VC,Zoom,MS Excel (Basic – Intermediate),Vijaybhan,May,813,70
Tier 3(Self Nomination based),VC,Zoom,MS Excel (Basic – Intermediate),Vijaybhan,Jun,753,35
Tier 3(Self Nomination based),VC,Zoom,MS Excel (Basic – Intermediate),Vijaybhan,May ,1272,170
Tier 3(Self Nomination based),VC,Zoom,MS Excel (Advance),Nitin Giri,July,287,78
Tier 3(Self Nomination based),VC,Zoom,MS Excel (Advance),Vipul Rafukiya,Jan,1268,151
Tier 3(Self Nomination based),VC,Zoom,Ms Excel (Advance) with AI,Vijaybhan,Feb,1093,134
Tier 3(Self Nomination based),VC,Zoom,Ms Excel (Advance) with AI,Vijaybhan,Apr,992,82
Tier 3(Self Nomination based),VC,Zoom,Ms Excel (Advance) with AI,Vijaybhan,May,1150,155
AMs and Below,VC,Zoom,Know Your Firm,Nida Zaidi,July,1015,74
AMs and Below,VC,Zoom,Know Your Firm,Nida Zaidi,Sept,6646,355
AMs and Below,VC,Zoom,Know Your Firm,Nida Zaidi,Nov,6549,412
AMs and Below,VC,Zoom,Know Your Firm,Nida Zaidi,Jan,6068,126
AMs and Below,VC,Zoom,Know Your Firm,Nida Zaidi,Mar,6010,210
AMs and Below,VC,Zoom,Know Your Firm,Nida Zaidi,May,6060,340
AMs and Below,VC,Zoom,Know Your Firm,Nida Zaidi,Jun,6153,1021
AMs and Below,VC,Zoom,Know Your Firm,Nida Zaidi,June,5105,936
AMs and Below,VC,Zoom,Fireside Chat,"Shraiya Jain ,Pranav Kacholia",Oct,6993,328
AMs and Below,VC,Zoom,Fireside Chat,"Vishakha Makhija, Dhaval Seth",Apr,7120,195
AMs and Below,VC,Zoom,Fireside Chat,"Vishakha Makhija, Raja Lahiri",July,7604,594
AMs and Below,VC,Zoom,Fireside Chat,"Shraiya Jain, Vig Kanan",Dec,6530,377
AMs and Below,VC,Zoom,Fireside Chat,"Nikita Gulati, Vishakha Makhija",Sept,6669,242
AMs and Below,VC,Zoom,Fireside Chat,"Shaiya Jain, Jaspreet Singh",Jan,7154,351
AMs and Below,VC,Zoom,Fireside Chat,"Shraiya Jain, Akshay Garkel",Feb,6115,228
AMs and Below,VC,Zoom,Fireside Chat,"Vishakha Makhija, Vivek Iyer",May,7352,231
AMs and Below,VC,Zoom,Fireside Chat,"Ramendra Verma, Shraiya Jain",April,7637,424
AMs and Below,In person,Ahmedabad,Practise Lab,Vishakha Makhija,April,84,20
AMs and Below,In person,Ahmedabad,Practise Lab,Vishakha Makhija,June,84,19
AMs and Below,In person,Ahmedabad,Practise Lab,Vishakha Makhija,June,63,36
AMs and Below,In person,Ahmedabad,Practise Lab,Vishakha Makhija,June,64,35
AMs and Below,In person,Bangalore,Practise Lab,Vishakha Makhija,June,99,17
AMs and Below,In person,Bangalore,Practise Lab,Vishakha Makhija,July,100,12
AMs and Below,In person,Bangalore,Practise Lab,Shraiya Jain,July,81,6
AMs and Below,In person,Bangalore,Practise Lab,Shraiya Jain,Dec,87,6
AMs and Below,In person,Bangalore,Practise Lab,Vishakha Makhija,Dec,50,19
AMs and Below,In person,Bangalore,Practise Lab,Vishakha Makhija,Dec,50,17
AMs and Below,In person,Bangalore,Practise Lab,Vishakha Makhija,Dec,51,14
AMs and Below,In person,Bangalore,Practise Lab,Vishakha Makhija,Feb,51,16
AMs and Below,In person,Bangalore,Practise Lab,Deepti Seth,Feb,50,9
AMs and Below,In person,Bangalore,Practise Lab,Deepti Seth,Jun,50,12
AMs and Below,In person,Bangalore,Practise Lab,Vishakha Makhija,Jun,82,28
AMs and Below,In person,Bangalore,Practise Lab,Vishakha Makhija,Jun,84,21
AMs and Below,In person,Bangalore,Practise Lab,Vishakha Makhija,Jun,80,24
AMs and Below,In person,Bangalore,Practise Lab,Vishakha Makhija,June,82,23
AMs and Below,In person,Chandigarh,Practise Lab,Shraiya Jain,June,42,12
AMs and Below,In person,Chandigarh,Practise Lab,Shraiya Jain,June,43,15
AMs and Below,In person,Chandigarh,Practise Lab,Shraiya Jain,Jun,38,5
AMs and Below,In person,Chandigarh,Practise Lab,Vishakha Makhija,Jun,50,22
AMs and Below,In person,Chandigarh,Practise Lab,Vishakha Makhija,Jun,43,4
AMs and Below,In person,Chandigarh,Practise Lab,Vishakha Makhija,Jun,68,14
AMs and Below,In person,Chandigarh,Practise Lab,Vishakha Makhija,April,67,14
AMs and Below,In person,Chennai,Practise Lab,Sumanth Ammapalli,April,30,13
AMs and Below,In person,Chennai,Practise Lab,Sumanth Ammapalli,April,26,6
AMs and Below,In person,Chennai,Practise Lab,Sumanth Ammapalli,April,31,9
AMs and Below,In person,Chennai,Practise Lab,Sumanth Ammapalli,Sept,31,12
AMs and Below,In person,Chennai,Practise Lab,Vishakha Makhija,Sept,123,26
AMs and Below,In person,Chennai,Practise Lab,Vishakha Makhija,Jan,133,25
AMs and Below,In person,Chennai,Practise Lab,Shraiya Jain,Jan,45,16
AMs and Below,In person,Chennai,Practise Lab,Shraiya Jain,April,46,21
AMs and Below,In person,Dehradun,Practise Lab,Noopur Singh,April,35,29
AMs and Below,In person,Dehradun,Practise Lab,Noopur Singh,April,33,19
AMs and Below,In person,Dehradun,Practise Lab,Noopur Singh,April,31,18
AMs and Below,In person,Dehradun,Practise Lab,Noopur Singh,May,34,18
AMs and Below,In person,Dehradun,Practise Lab,Shraiya Jain,June,25,22
AMs and Below,In person,Dehradun,Practise Lab,Vishakha Makhija,June,25,15
AMs and Below,In person,Dehradun,Practise Lab,Vishakha Makhija,June,28,18
AMs and Below,In person,Dehradun,Practise Lab,Vishakha Makhija,June,24,12
AMs and Below,In person,Dehradun,Practise Lab,Vishakha Makhija,Aug,27,19
AMs and Below,In person,Dehradun,Practise Lab,Shraiya Jain,Aug,50,31
AMs and Below,In person,Dehradun,Practise Lab,Shraiya Jain,Aug,50,32
AMs and Below,In person,Dehradun,Practise Lab,Shraiya Jain,Aug,40,19
AMs and Below,In person,Dehradun,Practise Lab,Shraiya Jain,Nov,40,21
AMs and Below,In person,Dehradun,Practise Lab,Noopur Singh,Nov,57,27
AMs and Below,In person,Dehradun,Practise Lab,Noopur Singh,Jan,44,38
AMs and Below,In person,Dehradun,Practise Lab,Vishakha Makhija,Jan,63,29
AMs and Below,In person,Dehradun,Practise Lab,Vishakha Makhija,Jan,32,9
AMs and Below,In person,Dehradun,Practise Lab,Vishakha Makhija,Jan,57,23
AMs and Below,In person,Dehradun,Practise Lab,Vishakha Makhija,May,35,15
AMs and Below,In person,GT One,Practise Lab,Shraiya Jain,May,103,13
AMs and Below,In person,GT One,Practise Lab,Shraiya Jain,June,96,10
AMs and Below,In person,GT One,Practise Lab,Shraiya Jain,June,103,22
AMs and Below,In person,GT One,Practise Lab,Shraiya Jain,Aug,101,10
AMs and Below,In person,GT One,Practise Lab,Shraiya Jain,Aug,104,24
AMs and Below,In person,GT One,Practise Lab,Shraiya Jain,Aug,108,22
AMs and Below,In person,GT One,Practise Lab,Noopur Singh,Aug,100,26
AMs and Below,In person,GT One,Practise Lab,Noopur Singh,Aug,102,30
AMs and Below,In person,GT One,Practise Lab,Shraiya Jain,Aug,91,29
AMs and Below,In person,GT One,Practise Lab,Shraiya Jain,Aug,90,32
AMs and Below,In person,GT One,Practise Lab,Noopur Singh,Aug,50,20
AMs and Below,In person,GT One,Practise Lab,Noopur Singh,Sept,50,21
AMs and Below,In person,GT One,Practise Lab,Shraiya Jain,Sept,47,20
AMs and Below,In person,GT One,Practise Lab,Shraiya Jain,Nov,44,17
AMs and Below,In person,GT One,Practise Lab,Shraiya Jain,Nov,72,27
AMs and Below,In person,GT One,Practise Lab,Shraiya Jain,May,71,16
AMs and Below,In person,Gurgaon,Practise Lab,Shraiya Jain,June,100,7
AMs and Below,In person,Gurgaon,Practise Lab,Shraiya Jain,June,100,9
AMs and Below,In person,Gurgaon,Practise Lab,Shraiya Jain,June,94,4
AMs and Below,In person,Gurgaon,Practise Lab,Noopur Singh,July,99,4
AMs and Below,In person,Gurgaon,Practise Lab,Shraiya Jain,July,91,15
AMs and Below,In person,Gurgaon,Practise Lab,Shraiya Jain,July,86,7
AMs and Below,In person,Gurgaon,Practise Lab,Shraiya Jain,July,85,11
AMs and Below,In person,Gurgaon,Practise Lab,Noopur Singh,July,102,22
AMs and Below,In person,Gurgaon,Practise Lab,Noopur Singh,July,89,18
AMs and Below,In person,Gurgaon,Practise Lab,Noopur Singh,July,101,16
AMs and Below,In person,Gurgaon,Practise Lab,Noopur Singh,Aug,102,14
AMs and Below,In person,Gurgaon,Practise Lab,Noopur Singh,Aug,100,32
AMs and Below,In person,Gurgaon,Practise Lab,Noopur Singh,Aug,100,27
AMs and Below,In person,Gurgaon,Practise Lab,Noopur Singh,Aug,50,14
AMs and Below,In person,Gurgaon,Practise Lab,Noopur Singh,Sept,50,11
AMs and Below,In person,Gurgaon,Practise Lab,Shraiya Jain,Sept,52,17
AMs and Below,In person,Gurgaon,Practise Lab,Shraiya Jain,Sept,53,17
AMs and Below,In person,Gurgaon,Practise Lab,Shraiya Jain,Sept,66,17
AMs and Below,In person,Gurgaon,Practise Lab,Shraiya Jain,Sept,72,24
AMs and Below,In person,Gurgaon,Practise Lab,Shraiya Jain,Oct,50,15
AMs and Below,In person,Gurgaon,Practise Lab,Noopur Singh,Oct,42,18
AMs and Below,In person,Gurgaon,Practise Lab,Noopur Singh,Oct,44,16
AMs and Below,In person,Gurgaon,Practise Lab,Noopur Singh,Oct,40,15
AMs and Below,In person,Gurgaon,Practise Lab,Noopur Singh,Oct,45,17
AMs and Below,In person,Gurgaon,Practise Lab,Noopur Singh,Oct,52,17
AMs and Below,In person,Gurgaon,Practise Lab,Noopur Singh,Oct,53,17
AMs and Below,In person,Gurgaon,Practise Lab,Noopur Singh,Oct,51,16
AMs and Below,In person,Gurgaon,Practise Lab,Noopur Singh,Nov,50,12
AMs and Below,In person,Gurgaon,Practise Lab,Shraiya Jain,Nov,50,8
AMs and Below,In person,Gurgaon,Practise Lab,Shraiya Jain,Nov,51,26
AMs and Below,In person,Gurgaon,Practise Lab,Noopur Singh,Nov,52,20
AMs and Below,In person,Gurgaon,Practise Lab,Noopur Singh,Dec,50,11
AMs and Below,In person,Gurgaon,Practise Lab,Noopur Singh,Dec,50,14
AMs and Below,In person,Gurgaon,Practise Lab,Noopur Singh,Dec,50,10
AMs and Below,In person,Gurgaon,Practise Lab,Shraiya Jain,Dec,56,10
AMs and Below,In person,Gurgaon,Practise Lab,Shraiya Jain,Dec,56,12
AMs and Below,In person,Gurgaon,Practise Lab,Noopur Singh,Dec,51,12
AMs and Below,In person,Gurgaon,Practise Lab,Noopur Singh,Dec,50,12
AMs and Below,In person,Gurgaon,Practise Lab,Shraiya Jain,Dec,69,14
AMs and Below,In person,Gurgaon,Practise Lab,Shraiya Jain,Jan,51,13
